cod_circoscrizione_ita,cod_circoscrizione,circoscrizione,sz_perv,sz_tot,agg
4,248,SPAGNA,35,35,20190527091047
4,249,SVEZIA,3,3,20190527124648
4,251,UNGHERIA,1,1,20190527091640
5,222,AUSTRIA,9,9,20190527083758
5,223,BELGIO,49,49,20190527084535
5,224,BULGARIA,1,1,20190527082319
5,308,CIPRO,1,1,20190527092324
5,259,CROAZIA,5,5,NA
5,227,DANIMARCA,3,3,20190527074423
5,256,ESTONIA,1,1,NA
5,228,FINLANDIA,1,1,20190527074634
5,229,FRANCIA,95,95,20190527075233
5,230,GERMANIA,152,152,20190527090621
5,232,GRECIA,6,6,20190527090448
5,233,IRLANDA,4,4,20190527074517
5,255,LETTONIA,1,1,20190527091906
5,254,LITUANIA,1,1,NA
5,238,LUSSEMBURGO,5,5,20190527090956
5,239,MALTA,2,2,20190527075128
5,242,PAESI BASSI,9,9,20190527090100
5,243,POLONIA,2,2,20190527092103
5,244,PORTOGALLO,5,5,20190527075842
5,231,REGNO UNITO,73,73,20190527085502
5,225,REPUBBLICA CECA,2,2,20190527081858
5,245,ROMANIA,2,2,20190527074218
5,452,SLOVACCHIA,1,1,20190527074000
5,450,SLOVENIA,2,2,NA
5,248,SPAGNA,35,35,20190527091154
5,249,SVEZIA,3,3,20190527082406
5,251,UNGHERIA,1,1,20190527074331
